type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number,latitude,longitude
Найпростіше укриття,,65,так,Львівський,Львівська,Львів,Повстанська,6,49.82689205,23.998568957730438
Найпростіше укриття,,18,так,Львівський,Львівська,Львів,Звіринського,12,49.83339765,24.022373632552803
Найпростіше укриття,,181,так,Львівський,Львівська,Львів,Одеська,12,49.8400482,24.008630977770842
Найпростіше укриття,,48,так,Львівський,Львівська,Львів,Рудницького,22,49.82258,23.995978445096846
Найпростіше укриття,,450,так,Львівський,Львівська,Львів,Малоголосківська,16,49.8664995,24.006350430956665
Найпростіше укриття,,144,так,Львівський,Львівська,Львів,Одеська,14,49.8403102,24.00845098160425
Найпростіше укриття,,500,так,Львівський,Львівська,Львів,Малоголосківська,30,49.86793825,24.001805844654548
Найпростіше укриття,,55,так,Львівський,Львівська,Львів,Звіринського,15,49.83372235,24.02272455817053
Найпростіше укриття,,65,так,Львівський,Львівська,Львів,Рудницького,33,49.82162835,23.998902356466132
Найпростіше укриття,,64,так,Львівський,Львівська,Львів,Корсунська,4,49.8293666,23.963461696797957
Найпростіше укриття,,450,так,Львівський,Львівська,Львів,Малоголосківська,32,49.86714845,24.00374858148833
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Війтовича,12,49.83704195,24.009203236172688
Найпростіше укриття,,450,так,Львівський,Львівська,Львів,Малоголосківська,32А,49.8674827,24.00364488182894
Найпростіше укриття,,100,так,Львівський,Львівська,Львів,Рудницького,39,49.821376099999995,24.000085441995544
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Котляревського,31,49.83204165,24.013412000000002
Найпростіше укриття,,43,так,Львівський,Львівська,Львів,Гіпсова,40Б,49.82566835,23.99322080000001
Найпростіше укриття,,460,так,Львівський,Львівська,Львів,Малоголосківська,32Г,49.8671308,24.003160300181825
Найпростіше укриття,,40,так,Львівський,Львівська,Львів,Війтовича,14,49.8371931,24.008998675720015
Найпростіше укриття,,92,так,Львівський,Львівська,Львів,Кооперативна,4,49.8410197,24.008773750000003
Найпростіше укриття,,141,так,Львівський,Львівська,Львів,Рудницького,70,49.82082405,24.000706953982082
Найпростіше укриття,,600,так,Львівський,Львівська,Львів,Малоголосківська,42,49.86727245,24.000942825774295
Найпростіше укриття,,129,так,Львівський,Львівська,Львів,Одеська,16,49.84043115,24.00830474299872
Найпростіше укриття,,40,так,Львівський,Львівська,Львів,Гіпсова,62,49.824855549999995,23.991523592711353
Найпростіше укриття,,14,так,Львівський,Львівська,Львів,Війтовича,16,49.837276700000004,24.008886183955973
Найпростіше укриття,,65,так,Львівський,Львівська,Львів,Котляревського,40,49.830245149999996,24.00942139701504
Найпростіше укриття,,230,так,Львівський,Львівська,Львів,На Нивах,13А,49.866793,24.009121
Найпростіше укриття,,43,так,Львівський,Львівська,Львів,Гіпсова,64,49.8242136,23.990702400000004
Найпростіше укриття,,70,так,Львівський,Львівська,Львів,Генерала Чупринки,128,49.82468725,24.000958759049617
Найпростіше укриття,,300,так,Львівський,Львівська,Львів,На Нивах,15,49.8669109,24.00762344242424
Найпростіше укриття,,350,так,Львівський,Львівська,Львів,Котляревського,57/61,49.83014545,24.00993212576345
Найпростіше укриття,,97,так,Львівський,Львівська,Львів,Ясна,4,49.84386905,24.001265620928425
Найпростіше укриття,,278,так,Львівський,Львівська,Львів,Одеська,18,49.8408554,24.008105232955884
Найпростіше укриття,,36,так,Львівський,Львівська,Львів,Глибока,10,49.8340052,24.012823670483723
Найпростіше укриття,,1000,так,Львівський,Львівська,Львів,Під Голоском,4Б,49.8703475,24.011981324242424
Найпростіше укриття,,85,так,Львівський,Львівська,Львів,Метрологічна,3,49.82958055,24.00917536734677
Найпростіше укриття,,1000,так,Львівський,Львівська,Львів,Під Голоском,4В,49.8700756,24.011827287795512
Найпростіше укриття,,64,так,Львівський,Львівська,Львів,Ясна,32,49.84422725,23.997668460227096
Найпростіше укриття,,170,так,Львівський,Львівська,Львів,Моршинська,2,49.82873445,24.00643080169959
Найпростіше укриття,,800,так,Львівський,Львівська,Львів,Під Голоском,8,49.869718250000005,24.01309164678008
Найпростіше укриття,,55,так,Львівський,Львівська,Львів,Цегельського,3,49.822071199999996,24.000116399999996
Найпростіше укриття,,52,так,Львівський,Львівська,Львів,Ясна,31,49.84386215,23.99813705
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Політехнічна,4,49.83432515,24.014243831705542
Найпростіше укриття,,700,так,Львівський,Львівська,Львів,Під Голоском,24,49.8715519,24.008476855092887
Найпростіше укриття,,250,так,Львівський,Львівська,Львів,Моршинська,3,49.82893695,24.00783191940397
Найпростіше укриття,,30,так,Львівський,Львівська,Львів,Глибока,20,49.832824349999996,24.011356085157452
Найпростіше укриття,,46,так,Львівський,Львівська,Львів,Ясна,3,49.84353525,24.001421965268758
Найпростіше укриття,,800,так,Львівський,Львівська,Львів,Під Голоском,24В,49.87094515,24.008370749999997
Найпростіше укриття,,102,так,Львівський,Львівська,Львів,Цегельського,9,49.82199215,24.000724108682363
Найпростіше укриття,,95,так,Львівський,Львівська,Львів,Політехнічна,12,49.83385655,24.01400893467029
Найпростіше укриття,,16,так,Львівський,Львівська,Львів,Війтовича,5,49.836658650000004,24.009076211454854
Найпростіше укриття,,10,так,Львівський,Львівська,Львів,Війтовича,6,49.83661085,24.009492840033786
Найпростіше укриття,,600,так,Львівський,Львівська,Львів,В'ячеслава Чорновола,67Б,49.86119635,24.016525800312778
Найпростіше укриття,,90,так,Львівський,Львівська,Львів,Ясна,29,49.84384645,23.998299950000003
Найпростіше укриття,,27,так,Львівський,Львівська,Львів,Глибока,4,49.8342933,24.013327986556604
Найпростіше укриття,,65,так,Львівський,Львівська,Львів,Одеська,21,49.84048045,24.007850619664623
Найпростіше укриття,,250,так,Львівський,Львівська,Львів,Цегельського,10,49.82170795,24.00024571465874
Найпростіше укриття,,450,так,Львівський,Львівська,Львів,Струмок,9,49.8584416,24.014277032811044
Найпростіше укриття,,95,так,Львівський,Львівська,Львів,Природна,6,49.82813325,24.00637256966791
Найпростіше укриття,,155,так,Львівський,Львівська,Львів,Моршинська,11,49.82795635,24.008666104999996
Найпростіше укриття,,64,так,Львівський,Львівська,Львів,Ясна,11А,49.8436503,24.000295
Найпростіше укриття,,23,так,Львівський,Львівська,Львів,Глибока,6,49.83420955,24.013121065108805
Найпростіше укриття,,400,так,Львівський,Львівська,Львів,Тараса Шевченка,134А,49.8537763,23.9911447
Найпростіше укриття,,46,так,Львівський,Львівська,Львів,Гнатюка,20/22,49.84208805,24.023786613846525
Найпростіше укриття,,72,так,Львівський,Львівська,Львів,Ясна,10,49.8439312,24.000619668076567
Найпростіше укриття,,184,так,Львівський,Львівська,Львів,Тадеуша Бой-Желінського,10,,
Найпростіше укриття,,85,так,Львівський,Львівська,Львів,Романицького,6,49.83167145,24.01581145
Найпростіше укриття,,34,так,Львівський,Львівська,Львів,Глибока,8,49.83407685,24.012952668371334
Найпростіше укриття,,600,так,Львівський,Львівська,Львів,Тараса Шевченка,38,49.8442672,24.013141890219032
Найпростіше укриття,,65,так,Львівський,Львівська,Львів,Гнатюка,3,49.84120615,24.026543161848778
